ParName	Value	Gradient
log_relpop[287]	-0.466491	1.2328e-07
log_relpop[288]	-0.233519	-2.51956e-07
log_relpop[289]	0.5196	-1.2687e-06
log_relpop[290]	0.338653	2.20473e-07
log_relpop[291]	-0.484355	3.24998e-08
log_relpop[292]	-0.494666	-2.30708e-07
log_relpop[293]	-0.166219	5.65432e-07
log_relpop[294]	0.0924562	9.17017e-07
log_relpop[295]	0.400531	-3.15758e-07
log_relpop[296]	0.336593	-7.94052e-07
log_relpop[297]	0.349575	5.6093e-07
log_relpop[298]	0.172469	3.75311e-07
log_relpop[299]	-0.466491	1.2328e-07
log_relpop[300]	-0.233519	-2.51956e-07
log_relpop[301]	0.5196	-1.2687e-06
log_relpop[302]	0.338653	2.20473e-07
log_relpop[303]	-0.484355	3.24998e-08
log_relpop[304]	-0.494666	-2.30708e-07
log_relpop[305]	-0.166219	5.65432e-07
log_relpop[306]	0.0924562	9.17017e-07
log_relpop[307]	0.400531	-3.15758e-07
log_relpop[308]	0.336593	-7.94052e-07
log_relpop[309]	0.349575	5.6093e-07
log_relpop[310]	0.172469	3.75311e-07
log_relpop[311]	-0.466491	1.2328e-07
log_relpop[312]	-0.233519	-2.51956e-07
log_relpop[313]	0.5196	-1.2687e-06
log_relpop[314]	0.338653	2.20473e-07
log_relpop[315]	-0.484355	3.24998e-08
log_relpop[316]	-0.494666	-2.30708e-07
log_relpop[317]	-0.166219	5.65432e-07
log_relpop[318]	0.0924562	9.17017e-07
log_relpop[319]	0.400531	-3.15758e-07
log_relpop[320]	0.336593	-7.94052e-07
log_relpop[321]	0.349575	5.6093e-07
log_relpop[322]	0.172469	3.75311e-07
log_relpop[323]	-0.466491	1.2328e-07
log_relpop[324]	-0.233519	-2.51956e-07
log_relpop[325]	0.5196	-1.2687e-06
log_relpop[326]	0.338653	2.20473e-07
log_relpop[327]	-0.484355	3.24998e-08
log_relpop[328]	-0.494666	-2.30708e-07
log_relpop[329]	-0.166219	5.65432e-07
log_relpop[330]	0.0924562	9.17017e-07
log_relpop[331]	0.400531	-3.15758e-07
log_relpop[332]	0.336593	-7.94052e-07
log_relpop[333]	0.349575	5.6093e-07
log_relpop[334]	0.172469	3.75311e-07
log_relpop[335]	-0.466491	1.2328e-07
log_relpop[336]	-0.233519	-2.51956e-07
log_relpop[337]	0.5196	-1.2687e-06
log_relpop[338]	0.338653	2.20473e-07
log_relpop[339]	-0.484355	3.24998e-08
log_relpop[340]	-0.494666	-2.30708e-07
log_relpop[341]	-0.166219	5.65432e-07
log_relpop[342]	0.0924562	9.17017e-07
log_relpop[343]	0.400531	-3.15758e-07
log_relpop[344]	0.336593	-7.94052e-07
log_relpop[345]	0.349575	5.6093e-07
log_relpop[346]	0.172469	3.75311e-07
log_relpop[347]	-0.466491	1.2328e-07
log_relpop[348]	-0.233519	-2.51956e-07
log_relpop[349]	0.5196	-1.2687e-06
log_relpop[350]	0.338653	2.20473e-07
log_relpop[351]	-0.484355	3.24998e-08
log_relpop[352]	-0.494666	-2.30708e-07
log_relpop[353]	-0.166219	5.65432e-07
log_relpop[354]	0.0924562	9.17017e-07
log_relpop[355]	0.400531	-3.15758e-07
log_relpop[356]	0.336593	-7.94052e-07
log_relpop[357]	0.349575	5.6093e-07
